NUMERO,PERGUNTA,RESP1,RESP2,RESP3,RESP4,CERTA,TIPO,FLAG,JA_FOI,MATERIA
643,"BCG É:","UM JOGO INFANTIL","UM BANCO NACIONAL","UMA VACINA","UMA LEI","3","A",,"N","C"
1305,"QUE FLOR GRANDE E AMARELA ACOMPANHA O MOVIMENTO DO SOL?","MARGARIDA","GIRASSOL","FLOR DE SOL","CHAPÉU-DE-SOL","2","A",,"N","C"
1304,"UMA SUBSTÂNCIA TÔXICA É AQUELA QUE É:","BENÉFICA","VENENOSA","SAUDÁVEL","FORTIFICANTE","2","A",,"N","C"
1303,"QUAL ALTERNATIVA NÃO CORRESPONDE A UM PLANETA?","PLATÃO","MARTE","MERCÚRIO","VÊNUS","1","A",,"N","C"
1302,"TENDINITE É INFLAMAÇÃO DE QUE PARTE DO CORPO?","TENDÕES","DEDOS","BRAÇO","VEIAS","1","A",,"N","C"
1301,"QUAL DESSES ELEMENTOS É CONHECIDO COMO SOLVENTE UNIVERSAL?","MERCÚRIO","ÁLCOOL","PETRÓLEO","ÁGUA","4","A",,"N","C"
1300,"OS METAIS COMPONENTES DA SOLDA DE CHUMBO SÃO:","CHUMBO E ESTANHO","COBRE E BRONZE","BRONZE E ESTANHO","COBRE E ESTANHO","1","A",,"N","C"
1299,"ONDE EXISTE ÁGUA-VIVA?","NA TERRA","NO MANGUE","NO MAR","NO MATO","3","A",,"N","C"
1298,"O PERÍODO DE CRESCIMENTO DO NASCIMENTO ATÉ A PUBERDADE CHAMA-SE:","ADOLESCÊNCIA","PUBESCÊNCIA","SUPLÊNCIA","INFÂNCIA","4","A",,"N","C"
1297,"A QUAL CLASSE PERTENCE O CROCODILO?","OFIDIANOS","CROCODILIANOS","MAMÍFEROS","ANFÍBIOS","2","A",,"N","C"
1296,"QUAL É O NOME DA TABELA ONDE SE APRESENTAM OS ELEMENTOS QUÍMICOS?","PERIÓDICA","GEOGRÁFICA","ESTATÍSTICA","MATEMÁTICA","1","A",,"N","C"
1282,"UM ORTOPEDISTA TRATA DE DOENÇAS DO:","GARGANTA","CORAÇÃO","OLHOS","ESQUELETO","4","A",,"N","C"
1294,"UM GRANDE ACÚMULO NATURAL DE GELO É CHAMADO DE:","GELEIRA","GELATINA","GELBA","GEL","1","A",,"N","C"
1306,"UM ESCURECIMENTO COMPLETO PODE SER CHAMADO DE:","GAFIEIRA","PÊNALTI","BLECAUTE","PARALISIA","3","A",,"N","C"
1292,"UM CORPO QUE NÃO DEIXA ATRAVESSAR A LUZ É:","TRANSPARENTE","TRANSLÚCIDO","TRANSLUZENTE","OPACO","4","A",,"N","C"
